time,average_ci,average_cv,bottom_jix,bottom_jvx,left_jix,left_jvx,right_jix,right_jvx,top_jiy,top_jvy
0,0,0,0,0,0,0,0,0,0,0
1,6.8505894943315e-09,8.5898294656531e-09,-5.0994316231382e-09,-2.3856391981968e-12,-4.8816226922327e-09,-2.35621992368e-12,4.8816226922327e-09,2.35621992368e-12,5.1151940570504e-09,2.4310072028353e-12
2.2,1.1394466892078e-08,1.5540116373641e-08,-8.9467257251803e-09,-6.9519739913488e-12,-8.5487254009872e-09,-6.9071442245668e-12,8.5487254009871e-09,6.9071442245667e-12,8.9607082133251e-09,7.0760013389403e-12
3.64,1.2702143020591e-08,1.9944841285072e-08,-8.9795953263526e-09,-1.2398565813954e-11,-8.551008557849e-09,-1.2498890388657e-11,8.551008557849e-09,1.2498890388657e-11,8.9999545138462e-09,1.2668861158055e-11
5.368,1.1987906919892e-08,2.2957071086088e-08,-8.6721399412246e-09,-2.5189792626563e-11,-8.2627644406572e-09,-2.5371044770986e-11,8.2627644406573e-09,2.5371044770988e-11,8.6705434451942e-09,2.5491783592507e-11
7.4416,1.0632812463382e-08,2.5875013937586e-08,-7.4246876088506e-09,-4.1925132818251e-11,-7.0795063452146e-09,-4.2206002891889e-11,7.0795063452146e-09,4.2206002891892e-11,7.4225085408782e-09,4.2211075384046e-11
9.92992,9.3231036444806e-09,2.9384914265636e-08,-6.441289539284e-09,-6.1128680929796e-11,-6.1511873457921e-09,-6.156871151295e-11,6.1511873457921e-09,6.1568711512953e-11,6.4391598307068e-09,6.1381964846506e-11
12.915904,8.185457809098e-09,3.3707244035254e-08,-5.6598256511504e-09,-8.2261611314214e-11,-5.4136784815553e-09,-8.2934352948824e-11,5.4136784815553e-09,8.2934352948829e-11,5.6580910408116e-09,8.2478000658326e-11
16.4990848,7.1634195106304e-09,3.8955623380327e-08,-4.9981665910995e-09,-1.0516106697175e-10,-4.7885566533865e-09,-1.0614432454339e-10,4.7885566533865e-09,1.061443245434e-10,4.9969498120232e-09,1.0534170252348e-10
20.79890176,6.2375190184775e-09,4.5071167251977e-08,-4.4347615008017e-09,-1.2985519643972e-10,-4.2556320786802e-09,-1.3122005434218e-10,4.2556320786802e-09,1.3122005434219e-10,4.4338612127076e-09,1.3000320161341e-10
25.958682112,5.4018497233931e-09,5.2267357765477e-08,-3.9481292890075e-09,-1.5643446483034e-10,-3.7946668882866e-09,-1.5824084543362e-10,3.7946668882866e-09,1.5824084543363e-10,3.9474409437282e-09,1.565537438338e-10
32.1504185344,4.6593152036657e-09,6.072011883201e-08,-3.5242399710197e-09,-1.8500893551363e-10,-3.3926607214465e-09,-1.8730088735372e-10,3.3926607214466e-09,1.8730088735373e-10,3.5237152853364e-09,1.8510352977901e-10
39.58050224128,4.0071018046262e-09,7.0632608042161e-08,-3.1535349847117e-09,-2.1568160206088e-10,-3.0406331523676e-09,-2.1848338731635e-10,3.0406331523677e-09,2.1848338731637e-10,3.1531361478506e-09,2.1575539720989e-10
48.496602689536,3.438470221784e-09,8.2243799508961e-08,-2.828456769877e-09,-2.4853229675716e-10,-2.7315123758506e-09,-2.5184523043883e-10,2.7315123758506e-09,2.5184523043884e-10,2.8281527673028e-09,2.4858891278365e-10
59.195923227443,2.9452503051463e-09,9.5838685453197e-08,-2.5428841398094e-09,-2.8360690882433e-10,-2.4595937474463e-09,-2.8740703405308e-10,2.4595937474463e-09,2.8740703405309e-10,2.542650671508e-09,2.8364967847562e-10
72.035107872932,2.5189998842073e-09,1.1175854427565e-07,-2.2917937160058e-09,-3.2090962493391e-10,-2.2202028521911e-09,-3.2514650153e-10,2.2202028521911e-09,3.2514650153002e-10,2.2916122109153e-09,3.2094161591182e-10
87.442129447518,2.1515891497335e-09,1.3041240394608e-07,-2.0709889601285e-09,-3.6039807108346e-10,-2.0094352994248e-09,-3.6499492497386e-10,2.0094352994249e-09,3.6499492497388e-10,2.0708455271328e-09,3.6042212365829e-10
105.93055533702,1.835516284843e-09,1.5229039090238e-07,-1.8769027384337e-09,-4.019820057889e-10,-1.8239689234771e-09,-4.0683734712304e-10,1.8239689234772e-09,4.0683734712306e-10,1.8767872267637e-09,4.0200075931111e-10
128.11666640443,1.5640379178701e-09,1.779794712784e-07,-1.7064520423045e-09,-4.4552630396857e-10,-1.6609266603798e-09,-4.5051690945598e-10,1.6609266603799e-09,4.50516909456e-10,1.7063572350953e-09,4.4554218483954e-10
154.73999968531,1.3311867383681e-09,2.081821340365e-07,-1.5569302151211e-09,-4.9085849489491e-10,-1.517775794419e-09,-4.9584341503454e-10,1.517775794419e-09,4.9584341503457e-10,1.5568511644616e-09,4.9087364202379e-10
186.68799962237,1.1317304383321e-09,2.4373861741032e-07,-1.4259280053381e-09,-5.3778012488322e-10,-1.3922549664441e-09,-5.4260520041454e-10,1.3922549664442e-09,5.4260520041457e-10,1.425861495473e-09,5.3779624269452e-10
225.02559954685,9.6110490179756e-10,2.8565334549539e-07,-1.3112775864359e-09,-5.8607996416498e-10,-1.2823231070582e-09,-5.905823017767e-10,1.2823231070582e-09,5.9058230177673e-10,1.3112216957086e-09,5.8609812075415e-10
271.03071945622,8.1533999304913e-10,3.3512633519799e-07,-1.2110149463158e-09,-6.3554613698845e-10,-1.1861257219102e-09,-6.3955814163755e-10,1.1861257219103e-09,6.3955814163758e-10,1.2109686720722e-09,6.3556656179857e-10
326.23686334746,6.9098403021018e-10,3.9359599342204e-07,-1.1233484491063e-09,-6.8597626895456e-10,-1.101911693518e-09,-6.8934204996085e-10,1.101911693518e-09,6.8934204996088e-10,1.1232844861188e-09,6.8600427465366e-10
392.48423601695,5.8505105392379e-10,4.6276282140381e-07,-1.0466656620389e-09,-7.3718002720698e-10,-1.0281905486684e-09,-7.3976395896943e-10,1.0281905486685e-09,7.3976395896947e-10,1.0466140847406e-09,7.3721239479313e-10
471.98108322034,4.9494229402584e-10,5.4466780952521e-07,-9.7951780268547e-10,-7.8897088150843e-10,-9.6367977306447e-10,-7.9059828378469e-10,9.636797730645e-10,7.9059828378472e-10,9.7947742481029e-10,7.8900302278828e-10
567.37729986441,4.1840702819066e-10,6.4174330004174e-07,-9.2057750540517e-10,-8.4118563973202e-10,-9.070380118897e-10,-8.4168416639981e-10,9.0703801188973e-10,8.4168416639985e-10,9.2054665263628e-10,8.4121462642938e-10
681.8527598373,3.5349649175655e-10,7.5688354012801e-07,-8.6866214392415e-10,-8.936959103164e-10,-8.5713872160238e-10,-8.929083561144e-10,8.5713872160241e-10,8.9290835611444e-10,8.6863892212107e-10,8.9372078905642e-10
819.22331180476,2.9852394627673e-10,8.9353419330382e-07,-8.2270868068433e-10,-9.4643457754316e-10,-8.1296874395167e-10,-9.4421469499499e-10,8.129687439517e-10,9.4421469499503e-10,8.226912980999e-10,9.4645551063901e-10
984.06797416571,2.5203229058737e-10,1.0557907031596e-06,-7.8175917127364e-10,-9.9943363184956e-10,-7.7360355593403e-10,-9.9564434912216e-10,7.7360355593406e-10,9.9564434912219e-10,7.8174768134312e-10,9.9945024816469e-10
1181.8815689988,2.1276615177168e-10,1.2484953545841e-06,-7.4495831472378e-10,-1.0528552028216e-09,-7.3824386354112e-10,-1.0473491884483e-09,7.3824386354115e-10,1.0473491884483e-09,7.4495065950222e-10,1.052867517349e-09
1419.2578827986,1.7964103710919e-10,1.4774061336826e-06,-7.1154641499012e-10,-1.1070060235811e-09,-7.0616782435147e-10,-1.0996021715674e-09,7.061678243515e-10,1.0996021715674e-09,7.1154123391563e-10,1.1070150710289e-09
1704.1094593583,1.5172624278557e-10,1.7493167199354e-06,-6.8086454861312e-10,-1.1623293874264e-09,-6.7674821499181e-10,-1.1528092737979e-09,6.7674821499184e-10,1.152809273798e-09,6.8086083277702e-10,1.1623364426062e-09
2045.93135123,1.2822367396083e-10,2.0722321858353e-06,-6.5235724955599e-10,-1.2193742266007e-09,-6.4945605237407e-10,-1.2074755110452e-09,6.494560523741e-10,1.2074755110452e-09,6.523544250118e-10,1.219380141073e-09
2456.117621476,1.0845068094533e-10,2.4555554546352e-06,-6.2557025102307e-10,-1.2787595242721e-09,-6.2387055830429e-10,-1.2641451470861e-09,6.2387055830432e-10,1.2641451470862e-09,6.2556804141126e-10,1.278764665895e-09
2948.3411457712,9.1824978722234e-11,2.9102918535359e-06,-6.0014534304853e-10,-1.3411406265572e-09,-5.9972251741987e-10,-1.3232441754041e-09,5.997225174199e-10,1.3232441754041e-09,6.0014617275382e-10,1.3411395832405e-09
3539.0093749255,7.7855381988083e-11,3.4492950751466e-06,-5.7614733290358e-10,-1.4063491509836e-09,-5.7699262508655e-10,-1.3846648784147e-09,5.7699262508658e-10,1.3846648784148e-09,5.7615189965331e-10,1.406337481103e-09
4247.8112499105,6.6114908927248e-11,4.087512240651e-06,-5.5340008743934e-10,-1.4745172350113e-09,-5.5534288592482e-10,-1.4489809640739e-09,5.5534288592485e-10,1.4489809640739e-09,5.5340195785047e-10,1.474510121483e-09
5098.3734998927,5.6243399302805e-11,4.8421045593282e-06,-5.309169540276e-10,-1.5485615555998e-09,-5.3401953210496e-10,-1.5185654552201e-09,5.3401953210499e-10,1.5185654552201e-09,5.3091569138231e-10,1.5485652304162e-09
6119.0481998712,4.7942537958219e-11,5.7325794723134e-06,-5.0845135243996e-10,-1.630520359672e-09,-5.1287217054313e-10,-1.5948622909976e-09,5.1287217054316e-10,1.5948622909977e-09,5.0844943564652e-10,1.6305278046122e-09
7343.8578398454,4.0962463164341e-11,6.7809654432606e-06,-4.8621001172099e-10,-1.7206892707272e-09,-4.9206580468354e-10,-1.678053690221e-09,4.9206580468357e-10,1.678053690221e-09,4.8620866879145e-10,1.7206951725575e-09
8813.6294078145,3.5093178554042e-11,8.0118980919788e-06,-4.6438383921058e-10,-1.8191360474076e-09,-4.7175404970087e-10,-1.7681467573503e-09,4.717540497009e-10,1.7681467573504e-09,4.6438306694844e-10,1.8191397842442e-09
10577.355289377,3.0154183648195e-11,9.4530495525133e-06,-4.4391553440603e-10,-1.9200631590588e-09,-4.5275035085115e-10,-1.8600445826214e-09,4.5275035085117e-10,1.8600445826215e-09,4.4391508082203e-10,1.9200655592127e-09
12693.826347253,2.5990227792114e-11,1.1133314325546e-05,-4.225434619019e-10,-2.038478708106e-09,-4.3309901089736e-10,-1.9664814240236e-09,4.3309901089738e-10,1.9664814240236e-09,4.2254317481923e-10,2.0384804028037e-09
15233.591616703,2.2486334512792e-11,1.3083055287045e-05,-4.017490440742e-10,-2.1679961050483e-09,-4.1408161668771e-10,-2.0817555446929e-09,4.1408161668774e-10,2.081755544693e-09,4.0174885352873e-10,2.1679973665346e-09
18281.309940044,1.953747472725e-11,1.5333280349656e-05,-3.8182071261238e-10,-2.3069996424715e-09,-3.9597168511209e-10,-2.2041091918152e-09,3.9597168511211e-10,2.2041091918152e-09,3.818205843239e-10,2.3070005947513e-09
21938.571928053,1.7054252518431e-11,1.7913810404424e-05,-3.6274314746074e-10,-2.4560566982702e-09,-3.7876491942513e-10,-2.3336619655537e-09,3.7876491942516e-10,2.3336619655537e-09,3.6274306110274e-10,2.4560574167631e-09
26327.286313664,1.4962358943367e-11,2.0850832508456e-05,-3.4454629758571e-10,-2.61530874669e-09,-3.6249707317483e-10,-2.4700963104915e-09,3.6249707317485e-10,2.4700963104915e-09,3.4454623980269e-10,2.6153092853389e-09
31593.743576396,1.320122623821e-11,2.4163964350599e-05,-3.2739991079884e-10,-2.7832299759845e-09,-3.4730786831471e-10,-2.6117206608556e-09,3.4730786831473e-10,2.6117206608556e-09,3.2739987244566e-10,2.7832303759369e-09
37913.492291676,1.1717639719776e-11,2.7861663016306e-05,-3.1119427594321e-10,-2.9605439189564e-09,-3.3309937878672e-10,-2.7586975654397e-09,3.3309937878674e-10,2.7586975654397e-09,3.1119425072014e-10,2.9605442128651e-09
45497.190750011,1.0470176243876e-11,3.1936494245868e-05,-2.960537940343e-10,-3.1453321679083e-09,-3.1998180232942e-10,-2.9088997670946e-09,3.1998180232944e-10,2.9088997670946e-09,2.9605377761919e-10,3.1453323811492e-09
54597.628900013,9.4240868847282e-12,3.636003644203e-05,-2.8211599670653e-10,-3.3344522340958e-09,-3.0806414335942e-10,-3.0591573246847e-09,3.0806414335944e-10,3.0591573246847e-09,2.8211598616138e-10,3.3344523862234e-09
65518.154680015,8.5497929299912e-12,4.1077395570988e-05,-2.6943855967335e-10,-3.5248769857671e-09,-2.9739478421767e-10,-3.2068432446164e-09,2.9739478421769e-10,3.2068432446164e-09,2.6943855300312e-10,3.5248770920944e-09
78622.785616018,7.8224544799372e-12,4.6002657975895e-05,-2.580499632441e-10,-3.7131256809466e-09,-2.879770394975e-10,-3.3485409682149e-09,2.8797703949752e-10,3.3485409682149e-09,2.5804995909864e-10,3.7131257535193e-09
94348.342739222,7.2221075422799e-12,5.1016938196805e-05,-2.4799591626921e-10,-3.8948430428836e-09,-2.7982934007755e-10,-3.4813128018379e-09,2.7982934007757e-10,3.4813128018379e-09,2.4799591374958e-10,3.8948430909689e-09
113219.01128707,6.7311956178709e-12,5.5969887132914e-05,-2.3924785947585e-10,-4.0664140322916e-09,-2.7294451246747e-10,-3.6019439182935e-09,2.7294451246749e-10,3.6019439182935e-09,2.3924785798351e-10,4.066414063086e-09
135863.81354448,6.3357104047515e-12,6.0688118282996e-05,-2.3181369674059e-10,-4.2232345585647e-09,-2.6727300289827e-10,-3.7076014008122e-09,2.6727300289829e-10,3.7076014008122e-09,2.3181369589097e-10,4.2232345773462e-09
163037.57625338,6.0237015230031e-12,6.4991083395989e-05,-2.256850560317e-10,-4.3609547421602e-09,-2.6277041929296e-10,-3.7959190003574e-09,2.6277041929298e-10,3.7959190003573e-09,2.2568505557125e-10,4.3609547529537e-09
195646.09150405,5.7846102332429e-12,6.8712445303564e-05,-2.2080988438029e-10,-4.4764691839643e-09,-2.5934989784043e-10,-3.8658478676197e-09,2.5934989784046e-10,3.8658478676196e-09,2.2080988414987e-10,4.4764691896314e-09
234776.30980486,5.6083642418595e-12,7.1732116566068e-05,-2.1711133385701e-10,-4.5679193393377e-09,-2.5690795992885e-10,-3.9173548021831e-09,2.5690795992888e-10,3.9173548021829e-09,2.1711133375654e-10,4.567919341903e-09
281732.57176583,5.4856278282323e-12,7.3992976827622e-05,-2.1447219328729e-10,-4.6353206862806e-09,-2.5527368001056e-10,-3.9525987059381e-09,2.5527368001059e-10,3.9525987059378e-09,2.1447219325448e-10,4.6353206871413e-09
338080.086119,5.4067310396436e-12,7.5522894728226e-05,-2.1274558479714e-10,-4.6804491362347e-09,-2.542970290033e-10,-3.9739492201825e-09,2.5429702900334e-10,3.9739492201822e-09,2.1274558479398e-10,4.6804491363191e-09
405697.1033428,5.3615620501334e-12,7.6427838656254e-05,-2.1174136331832e-10,-4.7070950743787e-09,-2.537809629207e-10,-3.9853239389986e-09,2.5378096292072e-10,3.9853239389984e-09,2.1174136332387e-10,4.707095074229e-09
486837.52401136,5.3399929358594e-12,7.6868933314103e-05,-2.1125729499545e-10,-4.720061057549e-09,-2.5357413313497e-10,-3.9898841222417e-09,2.53574133135e-10,3.9898841222416e-09,2.1125729500049e-10,4.7200610574123e-09
584206.02881363,5.3326402881387e-12,7.7021086251927e-05,-2.1108895406462e-10,-4.7245958343131e-09,-2.5351746076403e-10,-3.9911455108279e-09,2.5351746076405e-10,3.9911455108279e-09,2.11088954067e-10,4.7245958342484e-09
701048.23457636,5.3320619887304e-12,7.7034065738866e-05,-2.1107562920286e-10,-4.7249642567385e-09,-2.5353145504112e-10,-3.9908188407558e-09,2.5353145504113e-10,3.9908188407558e-09,2.1107562920334e-10,4.7249642567255e-09
841258.88149163,5.3334598085228e-12,7.7005487013078e-05,-2.1110589008571e-10,-4.7241534053515e-09,-2.5354708571721e-10,-3.9904865095147e-09,2.5354708571722e-10,3.9904865095147e-09,2.1110589008557e-10,4.7241534053553e-09
1009511.65779,5.3346320020394e-12,7.6981529876501e-05,-2.1113330852898e-10,-4.723415909316e-09,-2.5356255545981e-10,-3.9901245819631e-09,2.5356255545982e-10,3.9901245819631e-09,2.111333085288e-10,4.7234159093209e-09
1211414.9893479,5.335124584888e-12,7.6971176289348e-05,-2.1114360395577e-10,-4.7231382922023e-09,-2.5356207624206e-10,-3.9901535864669e-09,2.5356207624207e-10,3.990153586467e-09,2.1114360395571e-10,4.7231382922041e-09
